User,Operation,Item
U4,ADD,yogurt
U7,ADD,pork
U7,DELETE,pork
U9,ADD,sandwich bags
U9,DELETE,sandwich bags
U9,ADD,lunch meat
U2,ADD,all- purpose
U2,DELETE,all- purpose
ADMIN,LISTALL,
U5,ADD,flour
U4,DELETE,yogurt
U5,DELETE,flour
U10,ADD,soda
U10,DELETE,soda
U8,ADD,butter
U7,ADD,vegetables
U7,DELETE,vegetables
ADMIN,LISTALL,
U1,ADD,aluminum foil
U1,DELETE,aluminum foil
U7,ADD,all- purpose
U7,DELETE,all- purpose
U2,ADD,dinner rolls
ADMIN,LISTALL,
U9,ADD,shampoo
U6,ADD,all- purpose
ADMIN,LISTALL,
U3,ADD,mixes
U3,DELETE,mixes
U9,ADD,soap
U9,DELETE,soap
U2,ADD,laundry detergent
ADMIN,LISTALL,
U2,DELETE,laundry detergent
U10,ADD,ice cream
U10,DELETE,ice cream
U1,ADD,dinner rolls
U1,DELETE,dinner rolls
ADMIN,LISTALL,
U6,ADD,toilet paper
U6,DELETE,toilet paper
U3,ADD,shampoo
U3,DELETE,shampoo
U2,ADD,hand soap
ADMIN,LISTALL,
U4,ADD,waffles
U7,ADD,vegetables
ADMIN,LISTALL,
U3,ADD,cheeses
U3,ADD,mixes
U3,DELETE,mixes
U7,ADD,milk
ADMIN,LISTALL,
U7,DELETE,milk
U1,ADD,sandwich bags
U1,DELETE,sandwich bags
U6,ADD,laundry detergent
U6,DELETE,laundry detergent
ADMIN,LISTALL,
U2,ADD,dishwashing liquid/detergent
U2,DELETE,dishwashing liquid/detergent
U5,ADD,waffles
U5,DELETE,waffles
U2,ADD,individual meals
ADMIN,LISTALL,
U7,ADD,hand soap
U1,ADD,vegetables
ADMIN,LISTALL,
U5,ADD,individual meals
U5,DELETE,individual meals
U1,ADD,yogurt
U1,DELETE,yogurt
U7,ADD,cereals
U7,DELETE,cereals
U2,ADD,shampoo
U2,DELETE,shampoo
U7,ADD,vegetables
U7,DELETE,vegetables
ADMIN,LISTALL,
U9,ADD,aluminum foil
U9,DELETE,aluminum foil
U6,ADD,tortillas
U6,DELETE,tortillas
U8,ADD,mixes
ADMIN,LISTALL,
U8,DELETE,mixes
U4,ADD,soda
U7,ADD,pork
ADMIN,LISTALL,
U8,ADD,soap
U5,ADD,ice cream
U1,ADD,toilet paper
ADMIN,LISTALL,
U1,DELETE,toilet paper
U7,ADD,dinner rolls
U7,DELETE,dinner rolls
ADMIN,LISTALL,
